brand,product,product_type,ingredients,p_id,i_id,n_ingre,n_product,mp_count,mp_percent,mp_present
L'Oréal Paris,Studio Line Matt & Messy Salz-Spray 150 ml,7,VP/VA copolymer,22788,756,4,6040,1970,0.32615894,1
L'Oréal Paris,Magic Retouch Precision Mascara Middenbruin 8 ml,7,VP/VA copolymer,13566,756,3,6040,1970,0.32615894,1
L'Oréal Paris,False Lash Superstar X-Fiber Wateproof Mascara Black 14.5 ml,4,VP/VA copolymer,8316,756,4,630,234,0.371428571,1
L'Oréal Paris,Men Expert Fresh Extreme 48H Antiperspirant Roll-On 50 ml,3,VP/VA copolymer,14320,756,4,1588,472,0.297229219,1
L'Oréal Paris,Revitalift Bright Reveal Brightening Daily Scrub Cleanser 150 ml,6,VP/VA copolymer,19408,756,7,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Hydra Energetic Gezichtsgel 50 ml,6,VP/VA copolymer,14337,756,5,5751,2040,0.354720918,1
L'Oréal Paris,Pure Clay Purity Mask 1 stk,6,VP/VA copolymer,18463,756,3,5751,2040,0.354720918,1
L'Oréal Paris,Bambi XXL Oversized Eye Mascara 01 Black 1 stk,4,VP/VA copolymer,2486,756,3,630,234,0.371428571,1
L'Oréal Paris,Sonnenmilch Protect & Sublime LSF15 200ml,14,VP/VA copolymer,22320,756,7,2106,763,0.362298196,1
L'Oréal Paris,Stylista The Beach Wave Mist 200ml,7,VP/VA copolymer,22931,756,5,6040,1970,0.32615894,1
L'Oréal Paris,"Men Expert Barber Club Bart & Haar Stylingpomade, 75 ml",7,VP/VA copolymer,14274,756,5,6040,1970,0.32615894,1
L'Oréal Paris,True Match Liquid Foundation Make Up,5,VP/VA copolymer,25158,756,7,1190,488,0.410084034,1
L'Oréal Paris,Shampooing Haute Expertise Pure Riche Shampooing Nutrition & Réparation,7,VP/VA copolymer,20976,756,3,6040,1970,0.32615894,1
L'Oréal Paris,Men Expert Vita Lift Feuchtigkeitspflege 50ml,6,VP/VA copolymer,14420,756,6,5751,2040,0.354720918,1
L'Oréal Paris,"Elvital Dream Length Hair Detangler Conditioner For Long, Damaged Hair",7,VP/VA copolymer,7408,756,1,6040,1970,0.32615894,1
L'Oréal Paris,Dermo Expertise demaquillante hidra total 5,6,VP/VA copolymer,6558,756,3,5751,2040,0.354720918,1
L'Oréal Paris,"Life’s a Peach Blusher, Compact Powder",5,VP/VA copolymer,12797,756,2,1190,488,0.410084034,1
L'Oréal Paris,Elnett Satin Sterke Fixatie Hairspray,7,VP/VA copolymer,7372,756,4,6040,1970,0.32615894,1
L'Oréal Paris,Elvital Shampoo Fibralogy,7,VP/VA copolymer,7446,756,2,6040,1970,0.32615894,1
L'Oréal Paris,Extraordinary Oil Night Cream Mask 50 ml,6,VP/VA copolymer,8052,756,7,5751,2040,0.354720918,1
L'Oréal Paris,Men Face Cream Expert Vita Lift 5 50 ml,6,VP/VA copolymer,14429,756,3,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Anti Wrinkle Day Cream 50 ml,6,VP/VA copolymer,14271,756,3,5751,2040,0.354720918,1
L'Oréal Paris,Colorista Washout Hair Dye - Purple - 1 to 2 Weeks Coloring,7,VP/VA copolymer,5056,756,3,6040,1970,0.32615894,1
L'Oréal Paris,Men Expert Total Clean Shower Gel 300 ml,1,VP/VA copolymer,14417,756,3,5393,1941,0.359910996,1
L'Oréal Paris,Skin Revitalift Filler Serum 16 ml,6,VP/VA copolymer,21670,756,3,5751,2040,0.354720918,1
L'Oréal Paris,Magic Retouch Brown,7,VP/Hexadecene Copolymer,13554,754,5,6040,1970,0.32615894,1
L'Oréal Paris,Studio Line Silk & Gloss straightening spray,7,VP/Hexadecene Copolymer,22804,754,5,6040,1970,0.32615894,1
L'Oréal Paris,Skincare Pure-Clay Facial Cleanser with Red Algae,6,VP/Hexadecene Copolymer,21809,754,7,5751,2040,0.354720918,1
L'Oréal Paris,Glow Mon Amour Highlighting Drops - 01 Sparkling Love,5,VP/Hexadecene Copolymer,9684,754,5,1190,488,0.410084034,1
L'Oréal Paris,Men Expert Barber Club Protecting Precision Shave Cream,6,VP/Hexadecene Copolymer,14279,754,4,5751,2040,0.354720918,1
L'Oréal Paris,Men Expert Hydra Sensitive Hydraterende Gezichtsverzorging,6,VP/Hexadecene Copolymer,14371,754,3,5751,2040,0.354720918,1
L'Oréal Paris,Make-Up Designer Volume Million Lashes - Extra Black - Volume Mascara,4,VP/Hexadecene Copolymer,13618,754,4,630,234,0.371428571,1
L'Oréal Paris,Color Riche - 287 Sparkling Amethyst,11,VP/Hexadecene Copolymer,5002,754,4,694,255,0.367435159,1
L'Oréal Paris,Age Specialist 65+ Day Cream Anti-Wrinkle 50 ml,6,VP/Eicosene Copolymer,716,753,5,5751,2040,0.354720918,1
L'Oréal Paris,Botanicals Fresh Care Crème Coiffante Frizz Antidote 100 ml,7,VP/Eicosene Copolymer,3596,753,4,6040,1970,0.32615894,1
L'Oréal Paris,Elnett Dry Hair Haarspray 400 ml,7,VP/Eicosene Copolymer,7338,753,4,6040,1970,0.32615894,1
L'Oréal Paris,Kids Extra Gentle 2-in-1 Very Berry Strawberry Shampoo,7,VP/Eicosene Copolymer,12237,753,4,6040,1970,0.32615894,1
L'Oréal Paris,Wake Up And Glow BB Cream 03 Medium Light 1 stk,5,VP/Eicosene Copolymer,26310,753,5,1190,488,0.410084034,1
L'Oréal Paris,Magic Retouch Uitgroeispray Donkerblond 150 ml,7,VP/Dimethylaminoethylmethacrylate Copolymer,13569,751,6,6040,1970,0.32615894,1
L'Oréal Paris,Nutri Gold Night Cream Mask 50 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,16631,751,4,5751,2040,0.354720918,1
L'Oréal Paris,Pure Clay Exfoliating Gel Kuoriva Puhdistusgeeli 150 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,18458,751,4,5751,2040,0.354720918,1
L'Oréal Paris,Pure Clay Purity Face Mask 50 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,18462,751,2,5751,2040,0.354720918,1
L'Oréal Paris,Age Perfect Golden Lotion Serum 30 ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,686,751,6,5751,2040,0.354720918,1
L'Oréal Paris,Skin Paradise Tinted Water Cream - 03 Fair - SPF 20,5,VP/Dimethylaminoethylmethacrylate Copolymer,21635,751,9,1190,488,0.410084034,1
L'Oréal Paris,Sonnenmilch Protect & Sublime LSF15 200ml,14,VP/Dimethylaminoethylmethacrylate Copolymer,22320,751,7,2106,763,0.362298196,1
L'Oréal Paris,Men Expert Vita Lift Feuchtigkeitspflege 50ml,6,VP/Dimethylaminoethylmethacrylate Copolymer,14420,751,6,5751,2040,0.354720918,1
L'Oréal Paris,Skin Perfection Dagcrème 50 ml,6,VP/Acrylates/Lauryl Methacrylate Copolymer,21647,750,3,5751,2040,0.354720918,1
L'Oréal Paris,Sublime Sun SPF15+ Hydrafresh 200 ml,14,VP/Acrylates/Lauryl Methacrylate Copolymer,22972,750,3,2106,763,0.362298196,1
